Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel
Afghanistan,20200223,0,0,0,0,0,0,0,1
Afghanistan,20200224,0,0,0,0,0,0,0,1
Afghanistan,20200301,0,0,0,0,0,0,0,1
Afghanistan,20200312,0,0,0,0,0,0,0,1
Afghanistan,20200314,1,0,0,0,0,0,0,1
Afghanistan,20200315,1,0,0,0,0,0,0,1
Afghanistan,20200316,1,0,0,0,0,0,0,1
Afghanistan,20200318,1,0,1,0,0,0,0,1
Afghanistan,20200324,1,0,1,0,0,0,0,1
Afghanistan,20200325,1,0,1,0,0,0,0,1
Afghanistan,20200326,1,0,1,0,0,0,0,1
Afghanistan,20200328,1,0,1,0,0,0,0,1
Afghanistan,20200330,1,0,1,0,0,0,0,1
Afghanistan,20200331,1,0,1,0,0,0,0,1
Afghanistan,20200401,1,0,1,0,0,0,0,1
Afghanistan,20200402,1,0,1,0,0,0,0,1
Afghanistan,20200403,1,0,1,0,0,0,0,1
Afghanistan,20200405,1,0,1,1,0,0,0,1
Afghanistan,20200409,1,0,1,1,0,0,0,1
Afghanistan,20200411,1,0,1,1,0,0,0,1
Afghanistan,20200412,1,0,1,1,0,0,0,1
Afghanistan,20200417,1,0,1,1,0,0,0,1
Afghanistan,20200419,1,0,1,1,0,0,0,1
Afghanistan,20200421,1,0,1,1,0,0,0,1
Afghanistan,20200422,1,0,1,1,0,0,0,1
Afghanistan,20200423,1,0,1,1,0,0,0,1
Afghanistan,20200425,1,0,1,1,0,0,0,1
Afghanistan,20200427,1,0,1,1,0,0,0,1
Afghanistan,20200429,1,0,1,1,0,0,0,1
Afghanistan,20200430,1,0,1,1,0,0,0,1
Afghanistan,20200501,1,0,1,1,0,0,0,1
Afghanistan,20200504,1,0,1,1,0,0,0,1
Afghanistan,20200507,1,0,1,1,0,0,0,1
Afghanistan,20200509,1,0,1,1,0,0,0,1
Afghanistan,20200510,1,0,1,1,0,0,0,1
Afghanistan,20200511,1,0,1,1,0,0,0,1
Afghanistan,20200512,1,0,1,1,0,0,0,1
Afghanistan,20200514,1,0,1,1,0,0,0,1
Afghanistan,20200521,1,0,1,1,0,0,0,1
Afghanistan,20200522,1,0,1,1,0,0,0,1
Afghanistan,20200528,1,0,1,1,0,0,0,1
Afghanistan,20200604,1,0,1,1,0,0,0,1
Afghanistan,20200606,1,0,1,1,0,0,0,1
Afghanistan,20200607,1,0,1,1,0,0,0,1
Afghanistan,20200609,1,0,1,1,0,0,0,1
Afghanistan,20200615,1,0,1,1,0,0,0,1
Afghanistan,20200622,1,0,1,1,0,0,0,1
Afghanistan,20200624,1,0,1,1,0,0,0,1
Afghanistan,20200630,1,0,1,1,0,0,0,1
Afghanistan,20200705,1,0,1,1,0,0,0,1
Afghanistan,20200710,1,0,1,1,0,0,0,1
Afghanistan,20200724,1,0,1,1,0,0,0,1
Afghanistan,20200804,1,0,1,1,0,0,0,1
Afghanistan,20200805,1,0,1,1,0,0,0,1
Afghanistan,20200815,1,0,0,1,0,0,0,1
Afghanistan,20200818,1,1,0,0,0,0,0,1
Afghanistan,20200821,1,1,0,0,0,0,0,1
Afghanistan,20200826,1,1,0,0,0,0,0,1
Afghanistan,20200901,1,1,0,0,0,0,0,1
Afghanistan,20200905,1,1,0,0,0,0,0,1
Afghanistan,20200915,1,1,0,0,0,0,0,1
Afghanistan,20200922,1,1,0,0,0,0,0,1
Afghanistan,20200926,1,1,0,0,0,0,0,1
Afghanistan,20201003,1,1,0,0,0,0,0,1
Afghanistan,20201006,1,1,0,0,0,0,0,0
Afghanistan,20201027,1,0,0,0,0,0,0,0
Afghanistan,20201031,1,0,0,0,0,0,0,0
Afghanistan,20201102,1,0,0,0,0,0,0,0
Afghanistan,20201109,1,0,0,0,0,0,0,1
Afghanistan,20201121,1,0,0,0,0,0,0,1
Afghanistan,20201231,1,0,0,0,0,0,0,1
Afghanistan,20210112,1,0,0,0,0,0,0,1
Afghanistan,20210126,1,0,0,0,0,0,0,1
Afghanistan,20210203,1,0,0,0,0,0,0,1
Afghanistan,20210223,1,0,0,0,0,0,0,1
Afghanistan,20210301,1,0,0,0,0,0,0,1
Afghanistan,20210302,1,0,0,0,0,0,0,1
Afghanistan,20210310,1,1,1,0,0,0,0,1
Afghanistan,20210316,1,1,1,0,0,0,0,1
Afghanistan,20210323,0,1,1,0,0,0,0,1
Afghanistan,20210407,0,1,1,0,0,0,0,1
Afghanistan,20210503,0,1,1,0,0,0,0,1
Afghanistan,20210504,0,1,1,0,0,0,0,1
Albania,20200214,0,0,0,0,0,0,0,0
Albania,20200225,0,0,0,0,0,0,0,1
Albania,20200308,0,0,0,0,0,0,0,1
Albania,20200309,1,0,1,1,0,0,0,1
Albania,20200310,1,0,1,1,0,0,0,1
Albania,20200311,1,1,1,1,0,0,0,1
Albania,20200313,1,1,1,1,0,1,1,1
Albania,20200315,1,1,1,1,0,1,1,1
Albania,20200316,1,1,1,1,0,1,1,1
Albania,20200319,1,1,1,1,0,1,1,1
Albania,20200320,1,1,1,1,0,1,1,1
Albania,20200323,1,1,1,1,0,1,1,1
Albania,20200324,1,1,1,1,0,1,1,1
Albania,20200330,1,1,1,1,0,1,1,1
Albania,20200401,1,1,1,1,0,1,1,1
Albania,20200403,1,1,1,1,0,1,1,1
Albania,20200413,1,1,1,1,0,1,1,1
Albania,20200414,1,1,1,1,0,1,1,1
Albania,20200415,1,1,1,1,0,1,1,1
Albania,20200418,1,1,1,1,0,1,1,1
Albania,20200421,1,1,1,1,0,1,1,1
Albania,20200501,1,1,1,1,0,1,1,1
Albania,20200504,1,1,1,1,0,1,1,1
Albania,20200511,1,1,1,1,0,1,1,1
Albania,20200518,1,1,1,1,0,1,0,1
Albania,20200526,1,1,1,1,0,1,0,1
Albania,20200601,1,1,1,1,0,1,0,1
Albania,20200612,1,1,1,1,0,1,0,1
Albania,20200616,1,1,1,1,0,1,0,1
Albania,20200622,1,1,1,1,0,1,0,1
Albania,20200626,1,1,1,1,0,1,0,1
Albania,20200706,1,1,1,1,0,1,0,1
Albania,20200715,1,1,1,1,0,1,0,1
Albania,20200720,1,1,1,1,0,1,0,1
Albania,20200728,1,1,1,1,0,1,0,1
Albania,20200807,1,1,1,1,0,1,0,1
Albania,20200810,1,1,1,1,0,1,0,1
Albania,20200813,1,1,1,1,0,1,0,1
Albania,20200818,1,1,1,1,0,1,0,1
Albania,20200828,1,1,1,1,0,1,0,1
Albania,20200907,1,1,1,1,0,1,0,1
Albania,20200914,1,1,1,1,0,1,0,1
Albania,20200923,1,1,1,1,0,1,0,1
Albania,20201005,1,1,1,1,0,1,0,1
Albania,20201006,1,1,1,1,0,1,0,1
Albania,20201015,1,1,1,1,0,1,0,1
Albania,20201016,1,1,1,1,0,1,0,1
Albania,20201017,1,1,1,1,0,1,0,1
Albania,20201018,1,1,1,1,0,1,0,1
Albania,20201019,1,1,1,1,0,1,0,1
Albania,20201020,1,1,1,1,0,1,0,1
Albania,20201021,1,1,1,1,0,1,0,1
Albania,20201026,1,1,1,1,0,1,0,1
Albania,20201101,1,1,1,1,0,1,0,1
Albania,20201105,1,1,1,1,0,1,0,1
Albania,20201109,1,1,1,1,0,1,0,1
Albania,20201112,1,1,1,1,0,1,1,1
Albania,20201113,1,1,1,1,0,1,1,1
Albania,20201116,1,1,1,1,0,1,1,1
Albania,20201117,1,1,1,1,0,1,1,1
Albania,20201120,1,1,1,1,0,1,1,1
Albania,20201127,1,1,1,1,0,1,1,1
Albania,20201204,1,1,1,1,0,1,1,1
Albania,20201211,1,1,1,1,0,1,1,1
Albania,20201219,1,1,1,1,0,1,1,1
Albania,20201220,1,1,1,1,0,1,0,1
Albania,20201221,1,1,1,1,0,1,0,1
Albania,20201224,1,1,1,1,0,1,0,1
